city,rooms_semi_integer,rooms,extra_space,floor,surface_m2,NIS,property_type,price_surface
Bat Yam,4,4,0,1,90,5500,apartment,61.11
Bat Yam,3,3,0,1,55,4700,apartment,85.45
Bat Yam,3,3,0,29,95,8200,apartment,86.32
Bat Yam,4,4,0,34,100,8600,apartment,86
Bat Yam,3,3,0,5,90,6500,apartment,72.22
Bat Yam,4.5,4,1,3,85,4800,apartment,56.47
Bat Yam,4,4,0,24,285,11800,penthouse,41.4
Bat Yam,5,5,0,33,370,20000,penthouse,54.05
Bat Yam,3,3,0,0,190,7500,garden apartment,39.47
Bat Yam,4,4,0,5,96,8500,apartment,88.54
Bat Yam,2,2,0,0,59,4000,apartment,67.8
Bat Yam,2,2,0,5,35,3900,apartment,111.43
Bat Yam,3,3,0,1,73,4900,apartment,67.12
Bat Yam,3,3,0,1,70,5200,apartment,74.29
Bat Yam,4,4,0,6,110,6000,apartment,54.55
Bat Yam,2,2,0,8,60,4700,apartment,78.33
Bat Yam,5,5,0,22,130,9100,apartment,70
Bat Yam,3,3,0,28,75,6800,apartment,90.67
Bat Yam,2,2,0,0,25,3000,housing unit,120
Bat Yam,4,4,0,13,98,7800,apartment,79.59
Bat Yam,4,4,0,22,160,9000,apartment,56.25
Bat Yam,3,3,0,29,94,8200,apartment,87.23
Bat Yam,5,5,0,15,150,9000,apartment,60
Bat Yam,4,4,0,6,106,5800,apartment,54.72
Bat Yam,5,5,0,2,121,6000,apartment,49.59
Bat Yam,2.5,2,1,4,65,3800,apartment,58.46
Bat Yam,3,3,0,3,64,4400,apartment,68.75
Bat Yam,3,3,0,3,75,3800,apartment,50.67
Bat Yam,2.5,2,1,4,70,5000,apartment,71.43
Bat Yam,3.5,3,1,1,80,5000,apartment,62.5
Bat Yam,2,2,0,4,70,3500,apartment,50
Bat Yam,1,1,0,3,35,4200,apartment,120
Bat Yam,3,3,0,2,65,4800,apartment,73.85
Bat Yam,3,3,0,11,85,7000,apartment,82.35
Bat Yam,3,3,0,0,60,4200,apartment,70
Bat Yam,1,1,0,1,47,4200,housing unit,89.36
Bat Yam,2,2,0,2,50,3600,apartment,72
Bat Yam,3,3,0,1,82,4500,apartment,54.88
Bat Yam,2,2,0,4,58,4000,apartment,68.97
Bat Yam,1.5,1,1,1,70,3650,apartment,52.14
Bat Yam,3,3,0,1,68,4200,apartment,61.76
Bat Yam,4,4,0,13,98,7800,apartment,79.59
Bat Yam,2,2,0,1,50,4200,apartment,84
Bat Yam,1.5,1,1,0,20,2950,apartment,147.5
Bat Yam,5,5,0,14,125,8000,apartment,64
Bat Yam,4,4,0,2,90,5800,apartment,64.44
Bat Yam,1.5,1,1,0,30,2700,apartment,90
Bat Yam,4,4,0,1,85,5800,apartment,68.24
Bat Yam,2,2,0,0,38,2500,apartment,65.79
Bat Yam,3,3,0,1,90,5200,apartment,57.78
Bat Yam,3.5,3,1,2,83,5200,apartment,62.65
Bat Yam,3,3,0,1,70,4950,apartment,70.71
Bat Yam,2,2,0,0,55,3900,apartment,70.91
Bat Yam,2,2,0,2,60,4000,apartment,66.67
Bat Yam,3,3,0,14,91,7000,apartment,76.92
Bat Yam,2.5,2,1,2,55,3500,apartment,63.64
Bat Yam,4,4,0,0,250,7500,house,30
Bat Yam,3,3,0,1,60,4300,apartment,71.67
Bat Yam,2.5,2,1,2,30,3600,apartment,120
Bat Yam,1,1,0,1,15,2600,housing unit,173.33
Bat Yam,2.5,2,1,2,70,4150,apartment,59.29
Bat Yam,2,2,0,1,35,2800,apartment,80
Bat Yam,2,2,0,1,63,3600,apartment,57.14
Bat Yam,2,2,0,0,44,3200,apartment,72.73
Bat Yam,3,3,0,1,74,4800,apartment,64.86
Bat Yam,4,4,0,6,112,7500,apartment,66.96
Bat Yam,3,3,0,1,65,3900,apartment,60
Bat Yam,2,2,0,4,60,3850,apartment,64.17
Bat Yam,3.5,3,1,1,65,3800,apartment,58.46
Bat Yam,3.5,3,1,3,75,4500,apartment,60
Bat Yam,3,3,0,4,74,4600,apartment,62.16
Bat Yam,4,4,0,2,100,6000,apartment,60
Bat Yam,3,3,0,3,74,4400,apartment,59.46
Bat Yam,3,3,0,1,66,4000,apartment,60.61
Bat Yam,2,2,0,0,55,3900,apartment,70.91
Bat Yam,3,3,0,4,85,5800,apartment,68.24
Bat Yam,3.5,3,1,3,90,4200,apartment,46.67
Bat Yam,4,4,0,4,98,6800,apartment,69.39
Bat Yam,3,3,0,1,65,6200,apartment,95.38
Bat Yam,4,4,0,2,100,5400,apartment,54
Bat Yam,3,3,0,2,90,4600,apartment,51.11
Bat Yam,3,3,0,3,85,4000,apartment,47.06
Bat Yam,3,3,0,28,75,6900,apartment,92
Bat Yam,4.5,4,1,3,110,5500,penthouse,50
Bat Yam,3,3,0,3,67,4900,apartment,73.13
Bat Yam,4,4,0,14,114,9000,apartment,78.95
Bat Yam,3,3,0,2,75,4250,apartment,56.67
Bat Yam,4,4,0,1,120,8500,apartment,70.83
Bat Yam,2,2,0,1,50,3750,apartment,75
Bat Yam,6,6,0,33,260,26000,duplex,100
Bat Yam,4.5,4,1,1,105,5400,penthouse,51.43
Bat Yam,2.5,2,1,1,250,3700,garden apartment,14.8
Bat Yam,4,4,0,4,80,4999,apartment,62.49
Bat Yam,3.5,3,1,4,80,4900,apartment,61.25
Bat Yam,5,5,0,30,146,15000,apartment,102.74
Bat Yam,2.5,2,1,1,45,4500,apartment,100
